cik,ticker,universe_type,membership_status,membership_source,membership_version,effective_from,effective_to,membership_available_date,reviewed_at,membership_reason,notes
0000789019,MSFT,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0000320193,AAPL,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001045810,NVDA,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001730168,AVGO,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0000050863,INTC,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0000723125,MU,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0000002488,AMD,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001321655,PLTR,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001341439,ORCL,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001375365,SMCI,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001769628,CRWV,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001652044,GOOGL,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001326801,META,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
0001065280,NFLX,WATCHLIST,ACTIVE,LEGACY_SEED,1,2026-09-21,,2026-09-21,,"Migrated from scripts/seed_identity_reference.py's hard-coded 21-stock WATCHLIST_TICKERS list -- no reliable historical effective date exists, so effective_from is set to this migration's run date, not backdated.",
