cik,sector,industry,peer_group,classification_source,classification_status,mapping_version,effective_from,effective_to,classification_available_date,reviewed_at,next_review_due,review_reason,notes
0000002488,Information Technology,Semiconductors,AI & Compute Semiconductors,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),Watchlist internal peer: NVDA.
0000019617,Financials,Diversified Banks,Diversified / Money Center Banks,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0000040545,Industrials,Aerospace & Defense,Aerospace Engines & Systems,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0000050863,Information Technology,Semiconductors,IDM & Foundry Semiconductors,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0000059478,Health Care,Pharmaceuticals,Large-cap Innovative Pharmaceuticals,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0000320193,Information Technology,Technology Hardware & Devices,Consumer Technology & Devices,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0000723125,Information Technology,Semiconductors,Memory Semiconductors,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0000731766,Health Care,Managed Health Care,Managed Healthcare & Health Services,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0000789019,Information Technology,Software,Enterprise Software & Cloud Platforms,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),Watchlist internal peer: ORCL.
0000936468,Industrials,Aerospace & Defense,Defense Primes,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0001045810,Information Technology,Semiconductors,AI & Compute Semiconductors,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),Watchlist internal peer: AMD.
0001065280,Communication Services,Entertainment,Streaming & Digital Entertainment,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0001321655,Information Technology,Software,Data & AI Software Platforms,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0001326801,Communication Services,Interactive Media & Services,Internet Platforms & Digital Advertising,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),Watchlist internal peer: GOOGL.
0001341439,Information Technology,Software,Enterprise Software & Cloud Platforms,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),Watchlist internal peer: MSFT.
0001375365,Information Technology,Technology Hardware & Infrastructure,Server & AI Infrastructure Hardware,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
0001652044,Communication Services,Interactive Media & Services,Internet Platforms & Digital Advertising,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),Watchlist internal peer: META.
0001717115,Health Care,Health Care Technology,Healthcare Technology & Diagnostics,MANUAL_REVIEW,REVIEWED,v1,2026-09-20,,2026-09-20,2026-09-20,2027-03-20,Framework v2.0 Step 9 initial peer group classification (2026-09-20 ChatGPT design round),"No internal Watchlist peer yet -- peer_adequacy_status is INSUFFICIENT_PEERS within the 21-stock Watchlist Universe as of this classification; Core Market Universe expansion (adding real, financial-data-tracked external peers) is a separate, later step, not a blocker to REVIEWED status here."
